SOC,Project Name,Customer
ZCS23-138,3.5 Inch Hard Drive For Dell Poweredge Server,Trx District Management Sdn Bhd
ZCS21-092,Agrobank - Add On Backup Capacity License For Commvault System,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS21-012,Agrobank - Change Request On Ivanti Service Desk - Upgrade The Ivanti Platform,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS24-045,Agrobank - Corporate Website Maintenance & Support Renewal - 2 Years (15/7/2024 - 14/7/2026),Bank Pertanian Malaysia Berhad (Agrobank)
ZCS24-146,Agrobank - Hardware Renewal Of 8 Nodes Netapp And Zen Support Maintenance - 1 Year (1/3/2025 - 28/2/2026),Bank Pertanian Malaysia Berhad (Agrobank)
ZCS24-105,Agrobank - Ivanti Service Desk And Support Renewal (1/1/2025 - 31/12/2025),Bank Pertanian Malaysia Berhad (Agrobank)
ZCS23-070,Agrobank - Nutanix Technology Refresh For Virtualization System,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS24-131,Agrobank - Purchase Of Memory Module For Otp System,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS24-128,Agrobank - Purchase Of Physical Server For Swift 7.7 System Upgrade,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS25-140,Agrobank - Renewal Of 88 Cores Nutanix License Support And Subscription For Virtualization System,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS25-120,Agrobank - Renewal Of Maintenance And Support Services Itsm/Doit,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS25-015,Agrobank - Renewal Of Nutanix 5 Nodes Hpe Dx360 And Zen Support Renewal (28/4/2025 - 17/5/2026),Bank Pertanian Malaysia Berhad (Agrobank)
ZCS25-112,Agrobank - Virtualization System Fpr Secure Segmentation (February 2026 Installation),Bank Pertanian Malaysia Berhad (Agrobank)
ZCS25-109,Agrobank - Virtualization System Fpr Secure Segmentation (January 2026 Installation),Bank Pertanian Malaysia Berhad (Agrobank)
ZCS25-042,Agrobank - Website Migration,Bank Pertanian Malaysia Berhad (Agrobank)
ZCS25-122,Agrobank- Resident Engineer (Server),Bank Pertanian Malaysia Berhad (Agrobank)
ZCS24-102,Asnb - Brocade San Switch Zoning Configuration Services,Amanah Saham Nasional Berhad (Asnb)
ZCS25-006,Asnb - Consolidation Of Hardware Maintenance Renewal Fy2025 (Avs/Css/Edw/Fds/It Security & Devops) (1/1/2025 - 31/12/2025),Amanah Saham Nasional Berhad (Asnb)
ZCS23-078,Asnb - It Security And Devops Hardware Maintenance Renewal (Lenovo Server Thinksystem Sr650),Amanah Saham Nasional Berhad (Asnb)
ZCS24-116,Asnb - Software Maintenance Renewal Fy2025 (Avs & Non-Avs) (1/1/2025 - 31/12/2025),Amanah Saham Nasional Berhad (Asnb)
ZCS25-052,Awaya/Eneos - Professional Services To Convert Phyton Script To Powershell,Awaya Resources Sdn Bhd
ZCS24-141,Awaya/Jx Nippon - Annual Subscription Renewal For Adobe Acrobat Pro & Acrobat Sign (10/2/2025 - 9/2/2026),Awaya Resources Sdn Bhd
ZCS25-108,"Bank Muamalat - Additional Hpe Ezmeral Data Fabric Analytic And Hpe Ezmeral Data Fabric File Object (95cores, 72tb)",Bank Muamalat Malaysia Berhad
ZCS24-121,Bank Muamalat - Lenovo Hardware Maintenance & Support For Datawarehouse System,Bank Muamalat Malaysia Berhad
